Algoritmo,Tamano,Tiempo_ms
"1. NaivOnArray (Fuerza Bruta)",1024,1807
1. NaivOnArray (Fuerza Bruta),1024x1024,1807
"2. NaivLoopUnrollingTwo",1024,1588
2. NaivLoopUnrollingTwo,1024x1024,1588
"3. NaivLoopUnrollingFour",1024,1340
3. NaivLoopUnrollingFour,1024x1024,1340
"4. WinogradOriginal",1024,1225
4. WinogradOriginal,1024x1024,1225
"5. WinogradScaled",1024,2305
5. WinogradScaled,1024x1024,2305
"6. StrassenNaiv",1024,265
6. StrassenNaiv,1024x1024,265
"7. StrassenWinograd",1024,326
7. StrassenWinograd,1024x1024,326
"8. III.3 Sequential Block (Row x Column)",1024,774
8. III.3 Sequential Block (Row x Column),1024x1024,774
"9. III.4 Parallel Block (Row x Column)",1024,266
9. III.4 Parallel Block (Row x Column),1024x1024,266
"10. III.5 Enhanced Parallel Block (Row x Column)",1024,400
10. III.5 Enhanced Parallel Block (Row x Column),1024x1024,400
"11. IV.3 Sequential Block (Row x Row)",1024,241
11. IV.3 Sequential Block (Row x Row),1024x1024,241
"12. IV.4 Parallel Block (Row x Row)",1024,144
12. IV.4 Parallel Block (Row x Row),1024x1024,144
"13. IV.5 Enhanced Parallel Block (Row x Row)",1024,139
13. IV.5 Enhanced Parallel Block (Row x Row),1024x1024,139
"14. V.3 Sequential Block (Column x Column)",1024,1300
14. V.3 Sequential Block (Column x Column),1024x1024,1300
"15. V.4 Parallel Block (Column x Column)",1024,420
15. V.4 Parallel Block (Column x Column),1024x1024,420
"16. Paralelo por filas (Usando multihilos basico (Hilos nativos))",1024,82
16. Paralelo por filas (Usando multihilos basico (Hilos nativos)),1024x1024,82
"17. Secuencial Optimizado por Caché (i , k , j ) ",1024,144
17. Secuencial Optimizado por Caché (i , k , j ) ,1024x1024,144
"18. Secuencial con la matriz B transpuesta",1024,121
18. Secuencial con la matriz B transpuesta,1024x1024,121
